0.00 29.06 SPEAKER_03  Welcome to Punta Vista.
3517.34 3521.42 SPEAKER_02  Landry Parish Sheriff's Office, which has obtained arrest warrants for Edmund and Sally.
3522.38 3524.22 SPEAKER_02  That's a crazy phone call to get.
3524.66 3525.14 SPEAKER_02  Yeah.
3525.84 3527.66 SPEAKER_02  Hey guys.
3527.86 3528.74 SPEAKER_02  What is up?
3528.74 3533.36 SPEAKER_02  Uh, you remember how you buried your uncle earlier today?
3534.40 3538.64 SPEAKER_02  Well, someone got down there and took a couple of happy snaps of him.
3538.92 3543.00 SPEAKER_01  Some, some middle-aged goths did get in there.
3543.36 3544.28 SPEAKER_01  We do our best.
3544.28 3549.02 SPEAKER_01  We have goth prevention measures in place around the cemetery.
3549.34 3549.74 SPEAKER_01  Yeah.
3549.74 3554.26 SPEAKER_01  Uh, but obviously, you know, no system is a hundred percent foolproof.
3554.76 3556.88 SPEAKER_06  And they don't really show up on the cameras.
3558.10 3559.76 SPEAKER_06  It's sort of black on black.
3560.86 3562.12 SPEAKER_01  See a little, little flat.
3562.22 3564.52 SPEAKER_01  Do you see a floating face just then on the camera?
3564.72 3564.82 SPEAKER_01  No?
3564.82 3568.18 SPEAKER_02  I just be like, hey guys, I know this is going to be a difficult time for you.
3568.22 3571.50 SPEAKER_02  I do actually have a pamphlet for you that might help.
3571.90 3574.80 SPEAKER_02  It's called, So Some Wine Mums Papped Your Dead Uncle.
3575.14 3575.54 SPEAKER_02  Hmm.
3576.50 3580.70 SPEAKER_02  It'll sort of guide you through the process of dealing with this, thinking about it, healing.
3581.02 3581.32 SPEAKER_01  Yep.
3581.56 3581.90 SPEAKER_01  Yep.
3581.90 3586.94 SPEAKER_01  Not really knowing, uh, what to do with that information.
3588.10 3589.82 SPEAKER_01  What do you do with that information?
3590.50 3594.52 SPEAKER_01  In some ways, you would kind of prefer not to get the call, right?
3595.00 3597.18 SPEAKER_01  This is a porcelain man situation for me.
3597.50 3601.08 SPEAKER_01  Like, your dead, your dead uncle doesn't know that somebody took a picture of him in the coffin.
3601.54 3603.44 SPEAKER_01  And frankly, you don't need to know.
3603.88 3608.26 SPEAKER_02  Unless this is like, maybe you're in a feud with these ladies, or your uncle was.
3608.26 3613.44 SPEAKER_02  And like, they're sort of, these are, these pictures are of a gloating nature.
3613.64 3617.66 SPEAKER_06  Oh, they're going to get one last pap before he, uh, goes down in the ground.
3617.88 3618.38 SPEAKER_02  Oh, look at me.
3618.42 3620.12 SPEAKER_02  It's a photo of me and a dead chump.
3621.14 3625.38 SPEAKER_01  What if it's a, what if it's a, a slighted ex-girlfriend situation?
3625.86 3626.20 SPEAKER_02  Yeah.
3626.20 3631.98 SPEAKER_01  I told you, I told you that I would laugh over your dead body.
3632.42 3633.06 SPEAKER_01  Yes, believe me.
3633.32 3635.72 SPEAKER_06  They've got the pinkies out on camera, like.
3638.26 3640.68 SPEAKER_01  Tell your aunt had the laugh laugh.
3640.82 3641.90 SPEAKER_01  That's straight to Facebook.
3642.20 3643.16 SPEAKER_01  Straight to Facebook.
3643.46 3643.86 SPEAKER_02  Definitely.
3644.08 3647.70 SPEAKER_02  I, I don't want to, you know, it's tough sometimes when Lucy's not here.
3647.78 3652.84 SPEAKER_02  I know we have very powerful masculine energy and I don't want to descend into misogyny.
3653.16 3658.58 SPEAKER_02  Um, but you know, I hear three women in their forties, they've all been drinking wine all day.
3659.24 3662.60 SPEAKER_02  They're probably two of them backing up the other one in something crazy.
3662.84 3663.20 SPEAKER_02  Yeah.
3663.20 3664.58 SPEAKER_02  And she's like, you know what?
3664.62 3667.52 SPEAKER_02  I'm just going to get a photo with him because I'm so glad he's dead.
3667.54 3668.88 SPEAKER_02  And the other two are like, yes.
3669.48 3669.80 SPEAKER_05  Exactly.
3669.80 3670.08 SPEAKER_02  Yes.
3670.08 3670.54 SPEAKER_02  Oh my God.
3670.68 3671.10 SPEAKER_02  Do it.
3671.24 3672.70 SPEAKER_02  You deserve this.
3673.16 3675.18 SPEAKER_02  I'm so proud of you for doing this.
3675.24 3676.78 SPEAKER_02  You're self-actualizing, right?
3676.86 3677.24 SPEAKER_02  Oh my God.
3677.24 3677.96 SPEAKER_02  The cops are coming.
3678.50 3678.86 SPEAKER_02  Run.
3679.50 3680.20 SPEAKER_02  Ditch the heels.
3680.20 3686.18 SPEAKER_02  The name of the deceased was not released and the motive for the actions of the women has not yet been determined.
3686.74 3687.56 SPEAKER_02  Authority said.
3688.34 3690.02 SPEAKER_01  Uh, it's either goth or horny.
3690.16 3691.02 SPEAKER_01  Those are the two.
3691.30 3692.56 SPEAKER_01  I think those are the two it can be.
3692.98 3694.34 SPEAKER_02  Goth, horny.
3694.50 3695.34 SPEAKER_01  Could be a horny goth.
3695.40 3696.48 SPEAKER_02  Self-actualization.
3696.76 3697.86 SPEAKER_02  It's one of the three.
3698.72 3701.14 SPEAKER_02  Hey, this was definitely an episode of the podcast.
3701.60 3702.20 SPEAKER_02  Bonta Vista.
3702.60 3704.30 SPEAKER_02  Um, thank you so much for joining us.
3704.36 3706.18 SPEAKER_02  Thank you for being here behind the paywall.
3706.18 3711.48 SPEAKER_02  We had a bunch of you, um, sign up after the sort of new years.
3711.48 3713.90 SPEAKER_02  Cause you're starting 2025, right?
3714.32 3717.94 SPEAKER_02  I think this is a new year, new you, two episodes of Bonta Vista a week.
3717.98 3721.20 SPEAKER_02  You're going to be more normal than you've ever been.
3721.44 3724.60 SPEAKER_01  Hey, like Ben said earlier, start as you mean to go on.
3724.98 3725.42 SPEAKER_02  Yes.
3725.54 3726.84 SPEAKER_02  By giving us money.
3726.94 3727.34 SPEAKER_02  Yes.
3727.58 3730.18 SPEAKER_02  And just kind of keep doing that until Patreon folds.
3731.04 3731.32 SPEAKER_02  Yep.
3731.42 3732.00 SPEAKER_01  As a company.
3732.16 3733.38 SPEAKER_01  And then we'll move to Bubla.
3733.70 3736.08 SPEAKER_01  You've made the right new year's resolution.
3736.54 3739.24 SPEAKER_01  Give Bonta Vista a bit of money every month.
3739.48 3740.34 SPEAKER_01  Thank you so much.
3740.48 3740.72 SPEAKER_01  You know?
3741.18 3741.92 SPEAKER_01  Um, and think of it this way.
3742.48 3744.12 SPEAKER_01  You are a patron of the arts.
3744.60 3745.02 SPEAKER_01  Yes.
3745.18 3749.68 SPEAKER_01  You are contributing to the deepening and the widening of culture.
3750.18 3750.44 SPEAKER_01  Yes.
3750.56 3751.74 SPEAKER_01  In this beautiful world.
3752.10 3752.34 SPEAKER_03  Yeah.
3752.84 3758.68 SPEAKER_01  You get to hear some Australians try to understand some mentally ill Floridians.
3758.98 3759.30 SPEAKER_02  You know?
3759.78 3760.20 None  Correct.
3760.20 3764.42 SPEAKER_02  We will see you on the free episode.
3764.78 3767.36 SPEAKER_02  Until then, please stay safe.
3767.50 3777.48 SPEAKER_02  Just, I know that your gut reaction, if someone gives you something that sort of implies that your behavior was wrong or unpleasant.
3777.48 3785.58 SPEAKER_02  I know for me, my gut reaction is to either sever all ties with that person or to react with anger.
3785.94 3790.96 SPEAKER_02  And I think you should maybe try and put yourself in their shoes.
3791.08 3793.30 SPEAKER_02  Understand that it might not be coming from a place of malice.
3793.30 3802.06 SPEAKER_02  Because if you respond the way you want to, maybe you'll end up in like a year-long feud where you don't sleep anymore because you're terrified your neighbor's going to kill you.
3802.34 3802.60 SPEAKER_01  Yes.
3802.60 3808.52 SPEAKER_01  But also, if you don't stand up for yourself, you might end up being the victim of neighbor madness.
3809.06 3809.22 SPEAKER_01  Yeah.
3809.44 3809.84 SPEAKER_01  Yeah.
3809.98 3810.90 SPEAKER_02  Little pussy boy.
3811.06 3815.32 SPEAKER_02  You'll be sort of lying humiliated in your tent on your little inflatable mattress.
3815.80 3815.96 SPEAKER_02  Yeah.
3816.00 3818.88 SPEAKER_02  Going, here's all the stuff I could have said to them.
3819.34 3825.86 SPEAKER_02  And maybe if I broke a beer bottle, I could have gun-carded like 20 of them before they took me down.
3826.46 3830.62 SPEAKER_01  Your father died bravely defending us against noise at a campsite.
3830.64 3832.42 SPEAKER_02  Against some loud people at a campsite, yeah.
3832.92 3833.78 SPEAKER_01  He was dope.
3833.84 3834.38 SPEAKER_01  He was awesome.
3834.88 3835.58 SPEAKER_01  Wish he was here.
3835.76 3840.62 SPEAKER_01  But thankfully, you know, we got a reprieve from that noise for about 45 minutes.
3840.90 3842.32 SPEAKER_01  And then they kind of started back up again.
3842.90 3844.12 SPEAKER_06  Plus, you love your new dad.
3844.78 3846.16 SPEAKER_06  I think a new dad's even better.
3846.72 3847.18 SPEAKER_02  He's great.
3847.78 3848.18 SPEAKER_02  Taller.
3848.74 3849.10 SPEAKER_02  Easier.
3851.38 3852.30 SPEAKER_02  We'll see you next week.
3852.86 3853.26 SPEAKER_02  Bye.
3853.52 3854.04 SPEAKER_02  Bye-bye.
3854.04 3854.10 SPEAKER_02  Bye-bye.
3858.10 3859.04 SPEAKER_03  Bye-bye.
3859.04 3860.04 SPEAKER_03  Bye-bye.
3860.04 3861.04 None  Bye-bye.
3861.04 3862.04 None  Bye-bye.
3862.04 3862.16 None  Bye-bye.
3862.16 3862.58 SPEAKER_03  Bye-bye.
3862.58 3892.56 SPEAKER_03  Bye-bye.
3892.58 3922.56 SPEAKER_03  Bye-bye.
3922.58 3923.08 SPEAKER_03  Bye-bye.
3923.08 3923.82 SPEAKER_03  Bye-bye.
3924.04 3935.48 SPEAKER_03  Bye-bye.
3942.70 3944.36 None  Bye-bye.
3944.36 3944.44 None  Bye-bye.
3944.44 3944.60 None  Bye-bye.
3944.60 3944.94 None  Bye-bye.
3945.18 3945.70 None  Bye-bye.
3945.70 3947.56 None  Bye-bye.
3947.56 3948.44 None  Bye-bye.
3948.44 3948.50 None  Bye-bye.
3948.60 3949.30 None  Bye-bye.
3949.30 3949.86 None  Bye-bye.
3950.14 3950.82 None  Bye-bye.
3950.82 3950.94 None  Bye-bye.
3951.14 3951.66 None  Bye-bye.
